Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-et.fhir.core.json	16604	-	0	0	0	0	0	0	13	66	0	0	0	0	0	0	0	1	0	0	0	158	211	0	0	0	5	0	2
fsh-generated/resources/CodeSystem-education-status-cs.json	814	4	0	0	5	0	1	0	0	10	0	0	1	0	0	0	0	0	0	0	0	26	119	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ethiopian-states.json	1286	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	29	107	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-occupation.json	598	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	18	66	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-prefered-contact-cs.json	579	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	14	59	0	0	0	1	0	0
fsh-generated/resources/Patient-ETpatientEx.json	2519	3	0	0	0	0	0	0	1	691	0	0	0	0	0	0	0	0	0	0	0	28	26	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ETPatient.json	9278	3	0	127	0	0	0	0	0	136	0	0	0	0	0	0	0	2	0	0	0	552	1783	0	0	0	16	1	2
fsh-generated/resources/StructureDefinition-address-kebele.json	1259	1	0	8	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	58	246	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-address-ketenagott.json	1321	1	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	53	212	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-address-zone.json	1231	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	53	213	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-created-date.json	1334	1	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	53	223	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-dob-estimated.json	1303	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	52	185	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-education-status-extension.json	1750	1	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	59	187	0	0	0	1	0	0
